gene_id,omega,dN,dS
g14715_CDS1,0.15334,0.0,0.0
g14653_CDS4,0.0001,0.0,0.0
g14727_CDS6,174.62517,0.0,0.0
g15011_CDS3,0.47171,0.0,0.0
g14915_CDS2,0.5535,0.0,0.0
g14395_CDS2,0.52176,0.0,0.0
g14437_CDS3,0.0001,0.0,0.0
g14550_CDS12,0.50473,0.0,0.0
g14820_CDS5,0.54198,0.0,0.0
g14496_CDS4,999.0,0.0076,0.0
g14497_CDS3,999.0,0.0,0.0
g14756_CDS3,999.0,0.008,0.0
g14996_CDS1,203.48663,0.0,0.0
g14743_CDS11,0.54462,0.0,0.0
g14756_CDS6,0.0001,0.0,0.0
g14423_CDS3,0.52273,0.0,0.0
g14469_CDS8,0.49745,0.0,0.0
g14477_CDS14,0.27711,0.0,0.0
g14559_CDS3,0.0001,0.0,0.0001
g14941_CDS3,0.0001,0.0,0.0194
g14385_CDS2,0.2497,0.0465,0.1861
g14321_CDS2,0.49833,0.0,0.0
g14743_CDS18,0.55488,0.0,0.0
g14815_CDS1,0.51867,0.0,0.0
g14705_CDS2,0.06002,0.0,0.0
g14731_CDS22,0.0001,0.0,0.0
g14422_CDS1,999.0,0.0104,0.0
g14951_CDS6,0.53257,0.0,0.0
g14725_CDS4,0.0001,0.0,0.0202
g14922_CDS1,0.50662,0.0,0.0
g14404_CDS2,0.0961,0.0,0.0
g14409_CDS4,999.0,0.0,0.0
g14734_CDS2,0.53541,0.0,0.0
g14804_CDS1,0.0001,0.0,0.0
g14881_CDS7,613.30206,0.0,0.0
g14976_CDS1,0.0001,0.0,0.0
g14970_CDS1,0.4235,0.0,0.0
g14694_CDS3,0.62651,0.0,0.0
g14932_CDS2,0.52986,0.0,0.0
g14650_CDS1,0.35301,0.0,0.0
g14356_CDS7,0.0001,0.0,0.0
g14743_CDS16,0.52778,0.0,0.0
g14850_CDS2,0.55779,0.0,0.0
g14578_CDS2,999.0,0.0075,0.0
g14906_CDS3,0.72605,0.0032,0.0044
g14983_CDS2,0.48315,0.0,0.0
g14715_CDS2,0.51914,0.0,0.0
g14543_CDS2,0.0001,0.0,0.0
g14692_CDS1,0.0001,0.0,0.0
g14484_CDS2,999.0,0.0077,0.0
g14472_CDS1,0.0001,0.0,0.0
g14946_CDS1,0.0001,0.0,0.0
g14796_CDS3,0.0001,0.0,0.0163
g14497_CDS7,0.0001,0.0,0.0
g14864_CDS2,0.52241,0.0,0.0
g14792_CDS4,0.53335,0.0,0.0
g14345_CDS5,0.0001,0.0,0.0
g14380_CDS9,0.5171,0.0091,0.0176
g14355_CDS5,0.0001,0.0,0.0
g14379_CDS1,999.0,0.0029,0.0
g14427_CDS9,0.12434,0.0328,0.264
g14824_CDS4,0.23549,0.0139,0.0591
g14430_CDS4,0.0001,0.0,0.0
g14327_CDS1,0.0001,0.0,0.0
g14870_CDS4,0.0001,0.0,0.0
g14970_CDS6,0.6033,0.0,0.0
g14322_CDS4,0.52145,0.0,0.0
g14875_CDS1,89.58228,0.0,0.0
g14662_CDS1,0.80453,0.0,0.0
g14717_CDS1,999.0,0.0052,0.0
g14688_CDS1,75.89158,0.0009,0.0
g14728_CDS2,0.0001,0.0,0.0
g14721_CDS1,0.4859,0.0,0.0
g14731_CDS1,0.53362,0.0,0.0
g14729_CDS1,0.0001,0.0,0.0
g14673_CDS1,1.26398,0.0,0.0
g14943_CDS6,0.52059,0.0,0.0
g14645_CDS1,0.0001,0.0,0.024
g14899_CDS8,2.14647,0.0,0.0
g14473_CDS2,0.47848,0.0,0.0
g14470_CDS9,0.0001,0.0,0.0
g14668_CDS2,0.51882,0.082,0.158
g14755_CDS1,0.5379,0.0,0.0
g14951_CDS7,0.48543,0.0,0.0
g14494_CDS1,0.0001,0.0,0.002
g14682_CDS6,0.0001,0.0,0.0
g14875_CDS2,0.0001,0.0,0.0
g14356_CDS8,0.58816,0.0,0.0
g14986_CDS1,0.0001,0.0,0.0031
g14720_CDS8,0.0001,0.0,0.0
g14394_CDS1,9.98087,10.9769,1.0998
g14780_CDS3,0.0001,0.0,0.0
g14757_CDS1,0.35239,0.0,0.0
g14707_CDS1,0.0001,0.0,0.0
g14325_CDS2,0.0001,0.0,0.0
g14468_CDS1,0.0001,0.0,0.0
g14419_CDS1,0.92004,0.0212,0.023
g14806_CDS1,1.39087,0.0,0.0
g14477_CDS1,0.46954,0.0,0.0
g14738_CDS5,0.5509,0.0,0.0
g14357_CDS4,0.52713,0.0,0.0
g14893_CDS3,0.48253,0.0,0.0
g14975_CDS1,0.48089,0.0,0.0
g14427_CDS7,0.04162,0.0168,0.4036
g14956_CDS1,0.00836,0.0,0.0
g14835_CDS1,999.0,0.0039,0.0
g14810_CDS2,0.54623,0.0,0.0
g14958_CDS4,0.49061,0.0,0.0
g14559_CDS2,999.0,0.0,0.0
g14729_CDS4,0.49968,0.0,0.0
g14325_CDS1,0.46391,0.0,0.0
g14930_CDS3,0.53894,0.0,0.0
g14458_CDS1,2.37173,0.0095,0.004
g14898_CDS4,0.46824,0.0,0.0
g14814_CDS2,0.56085,0.0,0.0
g14985_CDS1,2.53388,0.0,0.0
g14792_CDS6,0.0001,0.0,0.0
g14753_CDS3,0.0001,0.0,0.0
g14871_CDS2,999.0,0.0,0.0
g14355_CDS1,0.0001,0.0,0.0
g14344_CDS2,0.51938,0.0,0.0
g14331_CDS1,0.0001,0.0,0.0
g14716_CDS4,0.50711,0.0,0.0
g14367_CDS1,1.91248,3.3405,1.7467
g14887_CDS3,161.33395,0.0,0.0
g14677_CDS2,0.0001,0.0,0.0
g14313_CDS1,2.40364,0.0,0.0
g14943_CDS5,0.0001,0.0,0.0
g14429_CDS1,0.47534,0.0,0.0
g15009_CDS1,0.5121,0.0,0.0
g15033_CDS2,0.47194,0.0,0.0
g14794_CDS7,0.0001,0.0,0.0
g15002_CDS1,999.0,0.0056,0.0
g14449_CDS3,0.39535,0.1062,0.2686
g14974_CDS1,0.0001,0.0,0.0
g14346_CDS10,0.0001,0.0,0.0
g14763_CDS1,0.0001,0.0,0.0
g14871_CDS4,0.0001,0.0,0.0
g14864_CDS3,0.52197,0.0,0.0
g14743_CDS13,0.47691,0.0,0.0
g14429_CDS7,0.0001,0.0,0.0
g14674_CDS2,0.0001,0.0,0.0
g14888_CDS1,999.0,0.0038,0.0
g14962_CDS1,0.0001,0.0,0.0
g14945_CDS4,0.47449,0.0,0.0
g14804_CDS4,0.0001,0.0,0.0
g14872_CDS2,0.0001,0.0,0.0
g15037_CDS2,0.08467,0.0,0.0
g14958_CDS7,0.23089,0.0043,0.0187
g15035_CDS1,0.53519,0.0,0.0
g14467_CDS3,0.0001,0.0,0.0
g14345_CDS8,0.4997,0.0,0.0
g14764_CDS1,0.1258,0.0,0.0
g14350_CDS1,0.13266,0.0232,0.175
g14792_CDS5,0.0001,0.0,0.0
g14514_CDS1,0.78017,1.4099,1.8072
g14355_CDS3,0.55537,0.0,0.0
g14551_CDS2,0.47795,0.0,0.0
g14871_CDS1,0.55017,0.0,0.0
g14550_CDS11,0.49745,0.0,0.0
g14482_CDS2,0.0001,0.0,0.0
g14953_CDS1,0.5378,0.0,0.0
g14672_CDS1,999.0,0.0199,0.0
g14903_CDS2,0.2627,0.6061,2.3071
g14733_CDS4,0.50464,0.0,0.0
g15034_CDS2,0.0001,0.0,0.0
g14554_CDS1,0.0001,0.0,0.0
g14864_CDS1,527.84146,0.0,0.0
g14650_CDS4,0.47737,0.0,0.0
g14651_CDS4,0.04258,1.0083,23.6776
g14468_CDS6,0.54309,0.0,0.0
g14971_CDS1,0.50386,0.0,0.0
g14808_CDS3,0.25832,0.0,0.0
g14380_CDS1,0.0001,0.0,0.0
g14400_CDS3,0.535,0.0,0.0
g14738_CDS4,0.46978,0.0,0.0
g14911_CDS2,0.0001,0.0,0.0096
g14442_CDS1,0.0001,0.0,0.0
g14415_CDS3,1.69494,0.0138,0.0081
g14709_CDS3,0.48186,0.0,0.0
g14536_CDS2,0.57303,1.0678,1.8634
g14552_CDS4,0.0001,0.0,0.0105
g14776_CDS1,0.0001,0.0,0.0074
g14693_CDS2,0.65874,0.0,0.0
g14313_CDS5,0.0001,0.0,0.0
g14443_CDS1,0.0001,0.0,0.0
g14380_CDS8,0.0001,0.0,0.0201
g14346_CDS14,0.48963,0.0,0.0
g14914_CDS1,999.0,0.0075,0.0
g14396_CDS2,0.51341,0.0,0.0
g14498_CDS3,0.0001,0.0,0.1398
g14705_CDS1,0.45106,0.0,0.0
g14543_CDS1,0.0001,0.0,0.0
g14471_CDS1,0.49845,0.0,0.0
g14373_CDS6,0.0192,0.0,0.0
g14916_CDS3,0.49018,0.0,0.0
g14357_CDS2,0.25673,0.0,0.0
g14889_CDS4,999.0,0.0128,0.0
g14738_CDS3,0.53987,0.0,0.0
g14951_CDS8,0.0001,0.0,0.0
g14339_CDS2,0.54965,0.0,0.0
g14677_CDS1,0.0001,0.0,0.0
g14793_CDS4,0.0001,0.0,0.0
g14524_CDS1,0.0001,0.0,0.0
g14482_CDS1,0.45292,0.0,0.0
g14496_CDS6,0.0001,0.0,0.0
g14694_CDS2,0.0001,0.0,0.0
g14645_CDS4,0.10943,0.0,0.0
g14708_CDS3,0.0001,0.0,0.0
g14983_CDS3,0.0001,0.0,0.0
g14722_CDS7,267.07584,0.0,0.0
g14878_CDS6,0.4667,0.0,0.0
g14945_CDS2,0.50859,0.0,0.0
g14956_CDS12,0.4912,0.0,0.0
g14792_CDS3,0.0001,0.0,0.0
g14805_CDS2,0.16309,0.0159,0.0973
g14356_CDS6,0.5111,0.0,0.0
g14876_CDS6,999.0,0.0106,0.0
g14919_CDS1,1.0118,0.0016,0.0016
g15025_CDS3,0.47419,0.0,0.0
g14477_CDS7,0.0001,0.0,0.0
g14684_CDS1,0.55442,0.0,0.0
g14994_CDS9,0.0001,0.0,0.0
g14725_CDS2,0.5236,0.0,0.0
g14878_CDS13,0.47958,0.0,0.0
g14952_CDS1,0.49565,0.0,0.0
g14779_CDS1,0.52245,0.0,0.0
g14477_CDS11,0.55521,0.0,0.0
g14496_CDS14,0.49562,0.0,0.0
g14743_CDS26,0.19008,0.0,0.0
g14358_CDS4,0.53393,0.0,0.0
g14668_CDS1,0.40528,0.7919,1.9539
g14673_CDS2,0.54399,0.0,0.0
g14994_CDS2,0.0001,0.0,0.0
g14354_CDS1,0.32874,0.0,0.0
g14731_CDS24,0.0001,0.0,0.0001
g14906_CDS1,999.0,0.0057,0.0
g14740_CDS3,0.0001,0.0,0.0
g14373_CDS4,0.0001,0.0,0.0
g14912_CDS1,1.52867,0.0069,0.0045
g14327_CDS3,999.0,0.0,0.0
g14329_CDS5,0.41857,0.0,0.0
g14695_CDS2,0.48207,0.0,0.0
g14470_CDS7,0.37421,0.0,0.0
g14796_CDS2,999.0,0.0,0.0
g14470_CDS4,57.02746,0.0,0.0
g14528_CDS1,0.0001,0.0,0.0177
g14971_CDS5,0.34813,0.0,0.0
g14959_CDS1,0.14466,0.0007,0.0049
g14822_CDS2,0.31302,0.0052,0.0166
g14743_CDS17,999.0,0.0048,0.0
g14728_CDS1,0.0001,0.0,0.0033
g14732_CDS1,503.02316,0.0,0.0
g14529_CDS1,0.55207,0.0,0.0
g14998_CDS3,353.55839,0.0,0.0
g14663_CDS1,0.50371,0.0,0.0
g14409_CDS1,0.55236,0.0,0.0
g14356_CDS5,0.0001,0.0,0.0
g14991_CDS4,0.0001,0.0,0.0
g14979_CDS2,0.0001,0.0,0.0122
g14429_CDS13,999.0,0.0084,0.0
g14534_CDS1,0.12959,0.0,0.0
g14793_CDS2,0.0001,0.0,0.0
g14894_CDS1,0.0001,0.0,0.0
g14879_CDS2,0.0001,0.0,0.0
g14468_CDS5,0.50662,0.0,0.0
g14678_CDS1,0.0001,0.0,0.0
g14725_CDS12,0.0001,0.0,0.0
g14466_CDS4,0.0001,0.0,0.0
g14972_CDS4,0.0001,0.0,0.0
g14947_CDS2,0.0001,0.0,0.0
g14437_CDS2,0.46257,0.0,0.0
g14423_CDS2,0.0001,0.0,0.0
g14822_CDS1,0.0001,0.0,0.0
g14381_CDS3,0.47568,0.0,0.0
g14409_CDS10,0.0001,0.0,0.0
g14648_CDS1,0.53769,0.0017,0.0032
g14939_CDS1,3.57079,0.0615,0.0172
g14467_CDS4,0.51207,0.0,0.0
g14480_CDS1,0.0001,0.0,0.0
g14521_CDS2,0.51283,0.0,0.0
g14722_CDS5,0.48618,0.0,0.0
g14672_CDS2,999.0,0.0116,0.0
g14811_CDS1,0.54562,0.0,0.0
g14867_CDS2,0.0001,0.0,0.0
g14870_CDS2,0.2951,0.2601,0.8812
g14402_CDS1,999.0,0.0007,0.0
g14535_CDS2,0.55917,0.2996,0.5358
g14345_CDS4,999.0,0.0022,0.0
g14716_CDS1,0.55303,0.0,0.0
g14327_CDS4,289.86019,0.0,0.0
g14409_CDS8,0.46258,0.0,0.0
g14803_CDS1,0.53638,0.0,0.0
g14571_CDS1,0.15374,0.0027,0.0174
g14358_CDS7,0.50381,0.0,0.0
g14539_CDS1,0.51072,0.0,0.0
g14916_CDS5,0.50104,0.0,0.0
g14731_CDS15,0.47312,0.0,0.0
g14497_CDS6,0.0001,0.0,0.0
g14965_CDS2,0.0001,0.0,0.0001
g14881_CDS2,0.54105,0.0,0.0
g14684_CDS2,1.07035,0.0,0.0
g14522_CDS1,0.0001,0.0,0.0
g14647_CDS2,0.0001,0.0,0.0025
g14792_CDS8,999.0,0.0,0.0
g14704_CDS1,0.0001,0.0,0.0346
g14437_CDS1,0.55097,0.0,0.0
g14344_CDS3,0.50917,0.0,0.0
g14900_CDS3,0.51479,0.0,0.0
g14737_CDS1,0.0001,0.0,0.0
g14550_CDS1,0.07207,0.832,11.5436
g14990_CDS1,0.546,0.0,0.0
g14525_CDS6,0.0001,0.0,0.0
g14358_CDS1,0.54083,0.0,0.0
g14688_CDS3,0.53404,0.0,0.0
g14520_CDS3,0.0001,0.0,0.0
g14328_CDS3,0.27511,0.0,0.0
g14898_CDS8,0.49477,0.0,0.0
g14558_CDS1,0.42371,0.003,0.0071
g14751_CDS1,0.52198,0.0,0.0
g14531_CDS1,0.0001,0.0,0.0
g14804_CDS3,371.46561,0.0,0.0
g14370_CDS1,0.0001,0.0,0.0
g14770_CDS1,1.18127,0.0,0.0
g14432_CDS1,0.0001,0.0,0.0
g14895_CDS5,0.53104,0.0,0.0
g14353_CDS1,0.48113,0.0,0.0
g15009_CDS2,0.50493,0.0,0.0
g14470_CDS11,0.55965,0.0,0.0
g14745_CDS1,0.0001,0.0,0.0
g14689_CDS2,0.53889,0.0,0.0
g14985_CDS2,2.19621,6.4224,2.9243
g14382_CDS5,0.0001,0.0,0.0
g14778_CDS4,0.48193,0.0,0.0
g14814_CDS1,0.55632,0.0,0.0
g14915_CDS1,999.0,0.0037,0.0
g14809_CDS5,0.48273,0.0,0.0
g14382_CDS3,224.65435,0.0,0.0
g15039_CDS2,0.0001,0.0,0.0
g14744_CDS2,0.0001,0.0,0.0
g14381_CDS18,0.50852,0.0,0.0
g14488_CDS1,1.33054,0.0,0.0
g14734_CDS1,0.0001,0.0,0.0
g14489_CDS1,0.511,0.0,0.0
g14720_CDS12,0.0001,0.0,0.0
