"chr" "dist_center" "syntheny" "breakpoints" "genes" "re" "dante" "recomb" "ltr" "ty1_copia" "ty3_gypsy" "dna_trans" "line" "unknown" "sine" "trc" "trc1" "gc"
"scaffold_1.37" "scaffold_1" "5.427134" "rearranged" "conserved" "11" "193" "2" "0.00016848794863124" "0" "0" "0" "0" "0" "105" "0" "0" "0" "0.329607"
"scaffold_1.38" "scaffold_1" "5.3271365" "rearranged" "conserved" "8" "187" "7" "4.81525963711854e-05" "1" "1" "0" "1" "0" "119" "0" "0" "0" "0.32138"
"scaffold_1.39" "scaffold_1" "5.227139" "rearranged" "conserved" "10" "216" "8" "4.81525963711854e-05" "3" "1" "0" "0" "0" "132" "0" "0" "0" "0.339777"
"scaffold_1.40" "scaffold_1" "5.1271415" "rearranged" "conserved" "11" "165" "6" "4.52838513697412e-05" "6" "1" "0" "0" "0" "93" "0" "0" "0" "0.33699"
"scaffold_1.41" "scaffold_1" "5.0271445" "rearranged" "conserved" "14" "190" "0" "1.55977491139971e-05" "0" "0" "0" "0" "0" "99" "0" "0" "0" "0.31953"
"scaffold_1.42" "scaffold_1" "4.927147" "rearranged" "conserved" "12" "179" "6" "1.55977491139971e-05" "3" "1" "0" "1" "0" "118" "0" "0" "0" "0.333487"
"scaffold_1.43" "scaffold_1" "4.8271495" "rearranged" "conserved" "10" "187" "12" "1.55977491139971e-05" "6" "1" "0" "1" "2" "100" "0" "0" "0" "0.33723"
"scaffold_1.44" "scaffold_1" "4.727152" "rearranged" "conserved" "11" "191" "9" "1.55977491139971e-05" "1" "1" "0" "2" "0" "109" "0" "0" "0" "0.329767"
"scaffold_1.45" "scaffold_1" "4.6271545" "rearranged" "conserved" "10" "199" "7" "1.55977491139971e-05" "0" "0" "0" "1" "0" "131" "0" "0" "0" "0.315669"
"scaffold_1.46" "scaffold_1" "4.5271575" "rearranged" "conserved" "10" "181" "16" "1.55977491139971e-05" "8" "3" "0" "1" "1" "98" "0" "0" "0" "0.33319"
"scaffold_1.47" "scaffold_1" "4.42716" "rearranged" "conserved" "6" "159" "2" "1.55977491139971e-05" "0" "0" "0" "1" "0" "101" "0" "0" "0" "0.316376"
"scaffold_1.48" "scaffold_1" "4.3271625" "rearranged" "conserved" "4" "188" "5" "1.55977491139971e-05" "1" "1" "0" "1" "0" "107" "0" "0" "0" "0.32062"
"scaffold_1.49" "scaffold_1" "4.227165" "rearranged" "conserved" "10" "201" "5" "1.55977491139971e-05" "0" "0" "0" "0" "3" "116" "0" "0" "0" "0.328107"
"scaffold_1.50" "scaffold_1" "4.1271675" "rearranged" "conserved" "15" "180" "8" "7.71642861702623e-05" "0" "0" "0" "0" "1" "104" "0" "0" "0" "0.32832"
"scaffold_1.51" "scaffold_1" "4.02717" "rearranged" "conserved" "7" "215" "4" "3.26721082567197e-06" "0" "0" "0" "1" "0" "131" "0" "0" "0" "0.315426"
"scaffold_1.52" "scaffold_1" "3.9271725" "rearranged" "conserved" "8" "169" "4" "7.04132259750299e-07" "0" "0" "0" "1" "0" "82" "0" "1" "1" "0.34402"
"scaffold_1.53" "scaffold_1" "3.8271755" "rearranged" "conserved" "12" "161" "8" "7.04132259750299e-07" "1" "1" "0" "0" "0" "98" "0" "0" "0" "0.34187"
"scaffold_1.54" "scaffold_1" "3.727178" "rearranged" "conserved" "10" "175" "4" "7.04132259750299e-07" "1" "1" "0" "0" "1" "87" "0" "0" "0" "0.324986"
"scaffold_1.55" "scaffold_1" "3.6271805" "rearranged" "conserved" "13" "214" "4" "7.04132259750299e-07" "1" "1" "0" "0" "0" "112" "0" "0" "0" "0.33794"
"scaffold_1.56" "scaffold_1" "3.527183" "rearranged" "conserved" "9" "148" "7" "7.04132259750299e-07" "6" "0" "1" "0" "0" "92" "0" "0" "0" "0.334287"
"scaffold_1.57" "scaffold_1" "3.4271855" "rearranged" "conserved" "12" "161" "9" "7.04132259750299e-07" "4" "2" "0" "0" "0" "79" "0" "0" "0" "0.350481"
"scaffold_1.58" "scaffold_1" "3.327188" "rearranged" "conserved" "7" "190" "6" "3.05815269925089e-05" "1" "1" "0" "0" "0" "96" "0" "0" "0" "0.324506"
"scaffold_1.59" "scaffold_1" "3.2271905" "rearranged" "conserved" "10" "200" "3" "3.9263621445282e-05" "0" "0" "0" "1" "0" "108" "0" "0" "0" "0.31776"
"scaffold_1.60" "scaffold_1" "3.1271935" "rearranged" "conserved" "6" "229" "12" "1.26837857902183e-05" "3" "1" "0" "0" "1" "122" "0" "0" "0" "0.32888"
"scaffold_1.61" "scaffold_1" "3.027196" "rearranged" "conserved" "13" "180" "4" "4.85816649393451e-06" "1" "0" "1" "0" "0" "103" "0" "0" "0" "0.338217"
"scaffold_1.62" "scaffold_1" "2.9271985" "rearranged" "conserved" "5" "204" "3" "4.8924526521096e-06" "0" "0" "0" "1" "1" "135" "0" "0" "0" "0.33207"
"scaffold_1.63" "scaffold_1" "2.827201" "rearranged" "conserved" "5" "220" "1" "4.8924526521096e-06" "0" "0" "0" "1" "0" "126" "0" "0" "0" "0.319956"
"scaffold_1.64" "scaffold_1" "2.7272035" "rearranged" "conserved" "4" "186" "13" "4.8924526521096e-06" "6" "2" "0" "0" "0" "110" "0" "0" "0" "0.3188"
"scaffold_1.65" "scaffold_1" "2.627206" "rearranged" "conserved" "16" "168" "2" "4.8924526521096e-06" "0" "0" "0" "0" "0" "90" "0" "0" "0" "0.336617"
"scaffold_1.66" "scaffold_1" "2.5272085" "rearranged" "conserved" "14" "176" "6" "4.8924526521096e-06" "0" "0" "0" "2" "2" "111" "0" "0" "0" "0.34691"
"scaffold_1.67" "scaffold_1" "2.4272115" "rearranged" "conserved" "10" "211" "1" "4.8924526521096e-06" "0" "0" "0" "0" "0" "126" "0" "0" "0" "0.34109"
"scaffold_1.68" "scaffold_1" "2.327214" "rearranged" "conserved" "8" "188" "5" "4.8924526521096e-06" "0" "0" "0" "1" "1" "116" "0" "0" "0" "0.332827"
"scaffold_1.69" "scaffold_1" "2.2272165" "rearranged" "conserved" "8" "177" "7" "4.8924526521096e-06" "0" "0" "0" "0" "1" "98" "0" "0" "0" "0.32743"
"scaffold_1.70" "scaffold_1" "2.127219" "rearranged" "conserved" "7" "191" "6" "4.8924526521096e-06" "0" "0" "0" "0" "0" "113" "0" "0" "0" "0.312906"
"scaffold_1.71" "scaffold_1" "2.0272215" "rearranged" "conserved" "11" "174" "6" "4.8924526521096e-06" "0" "0" "0" "0" "1" "85" "0" "0" "0" "0.34156"
"scaffold_1.72" "scaffold_1" "1.927224" "rearranged" "conserved" "9" "176" "8" "4.8924526521096e-06" "6" "1" "0" "2" "0" "107" "1" "0" "0" "0.331797"
"scaffold_1.73" "scaffold_1" "1.8272265" "rearranged" "conserved" "3" "131" "10" "4.8924526521096e-06" "6" "1" "0" "0" "0" "57" "0" "1" "1" "0.33866"
"scaffold_1.74" "scaffold_1" "1.7272295" "rearranged" "conserved" "6" "151" "11" "4.8924526521096e-06" "4" "2" "1" "0" "0" "66" "0" "1" "1" "0.34608"
"scaffold_1.75" "scaffold_1" "1.627232" "rearranged" "conserved" "9" "146" "25" "4.8924526521096e-06" "9" "3" "1" "1" "0" "72" "0" "0" "0" "0.342257"
"scaffold_1.76" "scaffold_1" "1.5272345" "rearranged" "conserved" "6" "201" "8" "6.58084505550781e-06" "1" "1" "0" "2" "1" "98" "0" "0" "0" "0.32384"
"scaffold_1.77" "scaffold_1" "1.427237" "rearranged" "conserved" "8" "167" "18" "8.04828674544958e-06" "2" "2" "0" "3" "1" "90" "0" "0" "0" "0.370317"
"scaffold_1.78" "scaffold_1" "1.3272395" "rearranged" "conserved" "8" "225" "3" "5.31897596433405e-06" "0" "0" "0" "1" "0" "125" "0" "0" "0" "0.32356"
"scaffold_1.79" "scaffold_1" "1.227242" "rearranged" "conserved" "6" "185" "6" "1.56781751352282e-05" "1" "1" "0" "1" "0" "110" "0" "0" "0" "0.332887"
"scaffold_1.80" "scaffold_1" "1.1272445" "rearranged" "conserved" "7" "141" "8" "7.20595751689157e-06" "1" "0" "1" "3" "0" "78" "0" "0" "0" "0.352821"
"scaffold_1.81" "scaffold_1" "1.0272475" "rearranged" "conserved" "9" "165" "4" "5.48272120584253e-06" "0" "0" "0" "0" "1" "91" "0" "0" "0" "0.33065"
"scaffold_1.82" "scaffold_1" "0.92725" "rearranged" "conserved" "9" "189" "13" "4.78150974463818e-06" "6" "1" "0" "0" "2" "110" "0" "0" "0" "0.335377"
"scaffold_1.83" "scaffold_1" "0.8272525" "rearranged" "conserved" "5" "132" "9" "6.27863598379182e-05" "3" "0" "3" "1" "0" "70" "0" "1" "1" "0.357441"
"scaffold_1.84" "scaffold_1" "0.727255" "rearranged" "conserved" "6" "114" "10" "9.56412444850622e-05" "6" "0" "2" "0" "0" "64" "0" "0" "0" "0.359107"
"scaffold_1.85" "scaffold_1" "0.6272575" "rearranged" "conserved" "10" "168" "17" "2.72249952882605e-05" "12" "2" "0" "0" "1" "88" "0" "0" "0" "0.34092"
"scaffold_1.86" "scaffold_1" "0.52726" "rearranged" "conserved" "9" "155" "9" "1.58004668997145e-05" "1" "1" "0" "1" "0" "74" "0" "0" "0" "0.352017"
"scaffold_1.87" "scaffold_1" "0.4272625" "rearranged" "conserved" "7" "176" "4" "4.87166172823858e-06" "0" "0" "0" "1" "0" "98" "0" "0" "0" "0.33275"
"scaffold_1.88" "scaffold_1" "0.3272655" "rearranged" "rearranged" "6" "136" "28" "4.47589892719319e-06" "16" "3" "1" "1" "0" "70" "0" "0" "0" "0.357171"
"scaffold_1.89" "scaffold_1" "0.227268" "rearranged" "rearranged" "1" "95" "19" "7.9113065902992e-07" "8" "1" "5" "0" "0" "44" "0" "0" "0" "0.341207"
"scaffold_1.90" "scaffold_1" "0.1272705" "rearranged" "rearranged" "2" "101" "1" "7.9113065902992e-07" "0" "0" "0" "0" "0" "53" "0" "2" "2" "0.34542"
"scaffold_1.91" "scaffold_1" "0.027273" "rearranged" "conserved" "11" "248" "7" "7.9113065902992e-07" "0" "0" "0" "0" "0" "93" "0" "0" "0" "0.322146"
"scaffold_1.92" "scaffold_1" "0.0727245" "rearranged" "conserved" "17" "176" "8" "7.9113065902992e-07" "0" "0" "0" "0" "1" "52" "0" "0" "0" "0.353741"
"scaffold_1.93" "scaffold_1" "0.1727215" "rearranged" "conserved" "14" "200" "5" "7.9113065902992e-07" "0" "0" "0" "0" "1" "97" "0" "0" "0" "0.32288"
"scaffold_1.94" "scaffold_1" "0.272719" "rearranged" "conserved" "7" "220" "10" "7.9113065902992e-07" "1" "1" "0" "2" "0" "104" "0" "0" "0" "0.331257"
"scaffold_1.95" "scaffold_1" "0.3727165" "rearranged" "conserved" "11" "145" "5" "7.9113065902992e-07" "4" "1" "0" "0" "0" "69" "1" "1" "1" "0.33609"
"scaffold_1.96" "scaffold_1" "0.472714" "rearranged" "conserved" "9" "220" "7" "7.9113065902992e-07" "0" "0" "0" "1" "0" "129" "0" "0" "0" "0.321856"
"scaffold_1.97" "scaffold_1" "0.5727115" "rearranged" "conserved" "9" "182" "8" "7.9113065902992e-07" "0" "0" "0" "2" "0" "87" "0" "0" "0" "0.33513"
"scaffold_1.98" "scaffold_1" "0.672709" "rearranged" "conserved" "11" "156" "4" "7.9113065902992e-07" "0" "0" "0" "3" "0" "82" "0" "0" "0" "0.337457"
"scaffold_1.99" "scaffold_1" "0.7727065" "rearranged" "conserved" "12" "246" "1" "7.9113065902992e-07" "0" "0" "0" "0" "0" "120" "0" "0" "0" "0.32145"
"scaffold_1.100" "scaffold_1" "0.8727035" "rearranged" "conserved" "11" "218" "5" "7.9113065902992e-07" "1" "0" "1" "0" "1" "119" "0" "0" "0" "0.32662"
"scaffold_1.101" "scaffold_1" "0.972701" "rearranged" "conserved" "14" "149" "3" "7.9113065902992e-07" "1" "1" "0" "1" "0" "75" "0" "0" "0" "0.333617"
"scaffold_1.102" "scaffold_1" "1.0726985" "rearranged" "conserved" "11" "199" "4" "1.66478813667443e-07" "1" "1" "0" "1" "0" "122" "0" "0" "0" "0.33484"
"scaffold_1.103" "scaffold_1" "1.172696" "rearranged" "conserved" "6" "139" "1" "3.81392616994796e-10" "0" "0" "0" "0" "0" "85" "0" "0" "0" "0.335997"
"scaffold_1.104" "scaffold_1" "1.2726935" "rearranged" "conserved" "13" "176" "5" "2.0984222351188e-05" "0" "0" "0" "0" "0" "93" "0" "0" "0" "0.33407"
"scaffold_1.105" "scaffold_1" "1.372691" "rearranged" "conserved" "9" "234" "0" "2.10280371363922e-06" "0" "0" "0" "0" "0" "133" "0" "0" "0" "0.321496"
"scaffold_1.106" "scaffold_1" "1.4726885" "rearranged" "conserved" "8" "226" "11" "2.10280371363922e-06" "6" "1" "0" "0" "1" "128" "0" "0" "0" "0.314519"
"scaffold_1.107" "scaffold_1" "1.5726855" "rearranged" "conserved" "9" "220" "9" "2.10280371363922e-06" "4" "1" "1" "0" "0" "134" "0" "0" "0" "0.3315"
"scaffold_1.108" "scaffold_1" "1.672683" "rearranged" "conserved" "8" "168" "14" "2.10280371363922e-06" "6" "2" "0" "1" "0" "97" "0" "0" "0" "0.346657"
"scaffold_1.109" "scaffold_1" "1.7726805" "rearranged" "conserved" "10" "178" "8" "4.49849269951089e-06" "6" "1" "0" "1" "0" "109" "0" "0" "0" "0.32982"
"scaffold_1.110" "scaffold_1" "1.872678" "rearranged" "conserved" "6" "190" "10" "9.8275522497468e-06" "4" "2" "0" "0" "0" "112" "0" "0" "0" "0.324806"
"scaffold_1.111" "scaffold_1" "1.9726755" "rearranged" "conserved" "5" "242" "2" "9.8275522497468e-06" "0" "0" "0" "2" "0" "141" "1" "0" "0" "0.307239"
"scaffold_1.112" "scaffold_1" "2.072673" "rearranged" "conserved" "5" "142" "14" "9.8275522497468e-06" "4" "1" "0" "0" "0" "82" "0" "1" "1" "0.351057"
"scaffold_1.113" "scaffold_1" "2.1726705" "rearranged" "conserved" "8" "192" "17" "9.8275522497468e-06" "8" "2" "0" "1" "0" "110" "0" "0" "0" "0.34403"
"scaffold_1.114" "scaffold_1" "2.2726675" "rearranged" "conserved" "13" "195" "5" "9.8275522497468e-06" "3" "1" "0" "1" "0" "112" "1" "0" "0" "0.33403"
"scaffold_1.115" "scaffold_1" "2.372665" "rearranged" "conserved" "7" "159" "10" "9.8275522497468e-06" "7" "2" "0" "0" "0" "87" "0" "0" "0" "0.343997"
"scaffold_1.116" "scaffold_1" "2.4726625" "rearranged" "conserved" "14" "171" "15" "3.01929875775017e-05" "6" "3" "0" "0" "0" "89" "0" "0" "0" "0.32294"
"scaffold_1.117" "scaffold_1" "2.57266" "rearranged" "conserved" "7" "226" "4" "7.75061910851299e-05" "0" "0" "0" "0" "0" "126" "0" "0" "0" "0.323676"
"scaffold_1.118" "scaffold_1" "2.6726575" "rearranged" "conserved" "9" "174" "13" "2.73193047859075e-05" "1" "1" "0" "0" "0" "92" "0" "1" "1" "0.33966"
"scaffold_1.119" "scaffold_1" "2.772655" "rearranged" "conserved" "10" "175" "17" "1.58583597904756e-05" "6" "0" "1" "0" "4" "75" "0" "0" "0" "0.339937"
"scaffold_1.120" "scaffold_1" "2.8726525" "rearranged" "conserved" "10" "214" "2" "0.000107708697508898" "0" "0" "0" "0" "0" "135" "0" "0" "0" "0.32229"
"scaffold_1.121" "scaffold_1" "2.9726495" "rearranged" "conserved" "5" "219" "8" "1.8419255427949e-05" "6" "1" "0" "2" "0" "117" "0" "0" "0" "0.32854"
"scaffold_1.122" "scaffold_1" "3.072647" "rearranged" "conserved" "7" "158" "23" "1.8419255427949e-05" "5" "2" "0" "1" "2" "80" "0" "0" "0" "0.336367"
"scaffold_1.123" "scaffold_1" "3.1726445" "rearranged" "conserved" "10" "197" "5" "5.19327769589555e-05" "0" "0" "0" "1" "0" "108" "0" "0" "0" "0.33612"
"scaffold_1.124" "scaffold_1" "3.272642" "rearranged" "conserved" "13" "205" "6" "6.97511232875288e-05" "4" "1" "0" "0" "0" "125" "0" "0" "0" "0.329177"
"scaffold_1.125" "scaffold_1" "3.3726395" "rearranged" "conserved" "10" "210" "14" "1.511803133546e-05" "7" "1" "2" "0" "1" "122" "0" "0" "0" "0.34755"
"scaffold_1.126" "scaffold_1" "3.472637" "rearranged" "conserved" "11" "247" "7" "1.511803133546e-05" "1" "1" "0" "0" "0" "154" "0" "0" "0" "0.329857"
"scaffold_1.127" "scaffold_1" "3.5726345" "rearranged" "conserved" "10" "224" "3" "1.511803133546e-05" "0" "0" "0" "1" "0" "131" "0" "0" "0" "0.32724"
"scaffold_1.128" "scaffold_1" "3.6726315" "rearranged" "conserved" "10" "193" "4" "1.511803133546e-05" "0" "0" "0" "0" "1" "126" "0" "0" "0" "0.32743"
"scaffold_1.129" "scaffold_1" "3.772629" "rearranged" "conserved" "3" "127" "5" "1.75438093273382e-05" "1" "1" "0" "1" "0" "65" "0" "2" "2" "0.336327"
"scaffold_1.130" "scaffold_1" "3.8726265" "rearranged" "conserved" "10" "206" "13" "2.52451769449445e-05" "3" "1" "2" "1" "0" "116" "0" "0" "0" "0.3412"
"scaffold_1.131" "scaffold_1" "3.972624" "rearranged" "conserved" "11" "221" "6" "2.52451769449445e-05" "1" "1" "0" "0" "0" "141" "0" "0" "0" "0.321206"
"scaffold_1.132" "scaffold_1" "4.0726215" "rearranged" "conserved" "11" "217" "6" "2.52451769449445e-05" "1" "1" "0" "1" "0" "123" "0" "0" "0" "0.31755"
"scaffold_1.133" "scaffold_1" "4.172619" "rearranged" "conserved" "10" "207" "8" "2.52451769449445e-05" "0" "0" "0" "0" "2" "127" "0" "0" "0" "0.325016"
"scaffold_1.134" "scaffold_1" "4.2726165" "rearranged" "conserved" "12" "207" "2" "2.3420826639939e-05" "0" "0" "0" "0" "0" "124" "0" "0" "0" "0.316059"
"scaffold_1.135" "scaffold_1" "4.3726135" "rearranged" "conserved" "5" "167" "10" "1.98739556535501e-05" "1" "1" "0" "1" "1" "92" "1" "1" "1" "0.32812"
"scaffold_1.136" "scaffold_1" "4.472611" "rearranged" "conserved" "9" "206" "6" "1.98739556535501e-05" "6" "1" "0" "0" "0" "130" "0" "0" "0" "0.332327"
"scaffold_1.137" "scaffold_1" "4.5726085" "rearranged" "conserved" "9" "196" "8" "2.60176542953422e-05" "3" "1" "0" "0" "0" "113" "0" "0" "0" "0.33005"
"scaffold_1.138" "scaffold_1" "4.672606" "rearranged" "conserved" "6" "202" "8" "3.85587244615866e-05" "1" "1" "0" "1" "0" "124" "0" "0" "0" "0.334767"
"scaffold_1.139" "scaffold_1" "4.7726035" "rearranged" "conserved" "23" "99" "0" "0.000116050192327381" "0" "0" "0" "0" "0" "44" "0" "0" "0" "0.363711"
"scaffold_1.140" "scaffold_1" "4.8726005" "rearranged" "conserved" "11" "112" "9" "4.83719424147346e-06" "4" "0" "2" "1" "0" "55" "0" "0" "0" "0.375881"
"scaffold_1.141" "scaffold_1" "4.972598" "rearranged" "conserved" "10" "160" "10" "9.70807730036392e-05" "9" "1" "1" "0" "0" "96" "0" "0" "0" "0.353237"
"scaffold_1.142" "scaffold_1" "5.0725955" "rearranged" "conserved" "6" "255" "1" "1.32836284906343e-05" "0" "0" "0" "1" "0" "162" "0" "0" "0" "0.311179"
"scaffold_1.143" "scaffold_1" "5.172593" "rearranged" "conserved" "8" "193" "11" "1.32836284906343e-05" "1" "0" "1" "0" "0" "101" "0" "0" "0" "0.339887"
"scaffold_1.144" "scaffold_1" "5.2725905" "rearranged" "conserved" "5" "185" "8" "1.32836284906343e-05" "2" "2" "0" "0" "0" "96" "0" "0" "0" "0.32358"
"scaffold_1.145" "scaffold_1" "5.372588" "rearranged" "conserved" "6" "207" "6" "1.32836284906343e-05" "3" "1" "0" "1" "0" "104" "0" "0" "0" "0.323686"
"scaffold_1.146" "scaffold_1" "5.4725855" "rearranged" "conserved" "9" "189" "7" "1.32836284906343e-05" "0" "0" "0" "0" "0" "100" "0" "0" "0" "0.334"
"scaffold_1.147" "scaffold_1" "5.5725825" "rearranged" "conserved" "11" "228" "2" "1.32836284906343e-05" "0" "0" "0" "0" "0" "132" "0" "0" "0" "0.32253"
"scaffold_1.148" "scaffold_1" "5.67258" "rearranged" "conserved" "10" "183" "7" "1.32836284906343e-05" "2" "2" "0" "0" "0" "128" "0" "0" "0" "0.320946"
"scaffold_1.149" "scaffold_1" "5.7725775" "rearranged" "conserved" "11" "175" "8" "2.09899712749074e-05" "3" "1" "0" "0" "0" "97" "0" "0" "0" "0.33547"
"scaffold_1.150" "scaffold_1" "5.872575" "rearranged" "conserved" "8" "146" "7" "6.92403586565922e-06" "1" "1" "0" "1" "0" "73" "0" "0" "0" "0.333707"
"scaffold_1.151" "scaffold_1" "5.9725725" "rearranged" "conserved" "6" "190" "5" "6.92403586565922e-06" "0" "0" "0" "0" "0" "114" "0" "1" "1" "0.315869"
"scaffold_1.152" "scaffold_1" "6.07257" "rearranged" "conserved" "9" "168" "14" "6.92403586565922e-06" "3" "3" "0" "0" "1" "86" "0" "0" "0" "0.335777"
