"chr" "dist_center" "syntheny" "breakpoints" "genes" "re" "dante" "recomb" "ltr" "ty1_copia" "ty3_gypsy" "dna_trans" "line" "unknown" "sine" "trc" "trc1" "gc"
"scaffold_1.13" "scaffold_1" "7.3063415" "conserved" "conserved" "8" "212" "8" "1.92411253075861e-05" "1" "1" "0" "1" "0" "124" "0" "0" "0" "0.332433"
"scaffold_1.14" "scaffold_1" "7.2063665" "conserved" "conserved" "9" "181" "7" "6.69501893561281e-06" "4" "1" "0" "1" "1" "99" "0" "0" "0" "0.352598"
"scaffold_1.15" "scaffold_1" "7.1063915" "conserved" "conserved" "14" "175" "4" "3.36501439172316e-05" "0" "0" "0" "0" "0" "102" "0" "0" "0" "0.345206"
"scaffold_1.16" "scaffold_1" "7.0064165" "conserved" "conserved" "12" "197" "18" "5.40645423162499e-05" "3" "3" "0" "0" "0" "118" "0" "0" "0" "0.328312"
"scaffold_1.17" "scaffold_1" "6.9064415" "conserved" "conserved" "11" "181" "12" "8.34611745738898e-05" "2" "0" "2" "0" "0" "101" "0" "0" "0" "0.339605"
"scaffold_1.18" "scaffold_1" "6.806466" "conserved" "conserved" "12" "189" "5" "3.93461462413115e-05" "4" "1" "1" "0" "0" "109" "0" "0" "0" "0.336741"
"scaffold_1.19" "scaffold_1" "6.7064905" "conserved" "conserved" "11" "210" "9" "2.44496730655265e-05" "1" "0" "1" "0" "0" "117" "0" "0" "0" "0.334424"
"scaffold_1.20" "scaffold_1" "6.6065155" "conserved" "conserved" "10" "198" "6" "1.43470892865213e-05" "6" "0" "1" "0" "0" "113" "0" "0" "0" "0.325291"
"scaffold_1.21" "scaffold_1" "6.5065405" "conserved" "conserved" "15" "153" "7" "1.43470892865213e-05" "0" "0" "0" "0" "1" "81" "0" "2" "2" "0.341875"
"scaffold_1.22" "scaffold_1" "6.4065655" "conserved" "conserved" "11" "169" "18" "1.43470892865213e-05" "5" "1" "2" "0" "2" "85" "0" "0" "0" "0.364571"
"scaffold_1.23" "scaffold_1" "6.3065905" "conserved" "conserved" "8" "208" "4" "3.34478319360144e-05" "1" "1" "0" "0" "0" "115" "0" "0" "0" "0.339935"
"scaffold_1.24" "scaffold_1" "6.206615" "conserved" "conserved" "10" "180" "23" "2.02164669956543e-05" "8" "2" "2" "0" "1" "105" "0" "0" "0" "0.346713"
"scaffold_1.25" "scaffold_1" "6.1066395" "conserved" "conserved" "4" "210" "6" "1.9817926419581e-05" "0" "0" "0" "0" "0" "128" "0" "0" "0" "0.323091"
"scaffold_1.26" "scaffold_1" "6.0066645" "conserved" "conserved" "11" "172" "6" "3.21674983366908e-05" "2" "2" "0" "0" "0" "91" "2" "0" "0" "0.346837"
"scaffold_1.27" "scaffold_1" "5.9066895" "conserved" "conserved" "11" "181" "7" "2.2687180264082e-06" "0" "0" "0" "1" "0" "108" "0" "0" "0" "0.327072"
"scaffold_1.28" "scaffold_1" "5.8067145" "conserved" "conserved" "7" "146" "13" "2.34798732074073e-06" "1" "1" "0" "0" "1" "81" "1" "0" "0" "0.350408"
"scaffold_1.29" "scaffold_1" "5.7067395" "conserved" "conserved" "14" "159" "19" "7.13242426864346e-06" "6" "3" "1" "0" "0" "96" "0" "0" "0" "0.348217"
"scaffold_1.30" "scaffold_1" "5.606764" "conserved" "conserved" "11" "210" "1" "1.50921649546424e-05" "0" "0" "0" "0" "0" "125" "1" "0" "0" "0.33182"
"scaffold_1.31" "scaffold_1" "5.5067885" "conserved" "conserved" "7" "142" "6" "1.47366902967826e-05" "2" "2" "0" "0" "0" "80" "0" "0" "0" "0.331723"
"scaffold_1.32" "scaffold_1" "5.4068135" "conserved" "conserved" "7" "174" "5" "1.47366902967826e-05" "2" "2" "0" "0" "0" "92" "0" "0" "0" "0.344296"
"scaffold_1.33" "scaffold_1" "5.3068385" "conserved" "conserved" "5" "219" "5" "1.47366902967826e-05" "0" "0" "0" "0" "0" "115" "0" "0" "0" "0.323721"
"scaffold_1.34" "scaffold_1" "5.2068635" "conserved" "conserved" "7" "217" "2" "2.34776323312388e-05" "0" "0" "0" "0" "0" "116" "0" "0" "0" "0.330303"
"scaffold_1.35" "scaffold_1" "5.1068885" "conserved" "conserved" "5" "259" "3" "2.48306577164588e-05" "0" "0" "0" "0" "0" "139" "0" "0" "0" "0.313838"
"scaffold_1.36" "scaffold_1" "5.006913" "conserved" "conserved" "10" "190" "5" "3.72711369360416e-05" "1" "1" "0" "0" "0" "113" "0" "0" "0" "0.3351"
"scaffold_1.37" "scaffold_1" "4.9069375" "conserved" "conserved" "14" "188" "15" "1.07310204887524e-05" "1" "1" "0" "0" "0" "88" "0" "0" "0" "0.338755"
"scaffold_1.38" "scaffold_1" "4.8069625" "conserved" "conserved" "8" "162" "22" "1.07310204887524e-05" "5" "3" "0" "0" "0" "91" "0" "0" "0" "0.336774"
"scaffold_1.39" "scaffold_1" "4.7069875" "conserved" "conserved" "11" "184" "7" "2.15825444126946e-05" "6" "1" "0" "0" "0" "109" "0" "0" "0" "0.328402"
"scaffold_1.40" "scaffold_1" "4.6070125" "conserved" "conserved" "13" "219" "10" "1.30967747653148e-05" "1" "1" "0" "1" "0" "133" "0" "0" "0" "0.332043"
"scaffold_1.41" "scaffold_1" "4.5070375" "conserved" "conserved" "12" "196" "9" "1.30967747653148e-05" "7" "2" "0" "0" "0" "120" "0" "0" "0" "0.329882"
"scaffold_1.42" "scaffold_1" "4.407062" "conserved" "conserved" "6" "242" "4" "1.30967747653148e-05" "0" "0" "0" "0" "0" "137" "0" "0" "0" "0.317646"
"scaffold_1.43" "scaffold_1" "4.3070865" "conserved" "conserved" "16" "183" "9" "1.30967747653148e-05" "2" "1" "1" "0" "0" "99" "0" "0" "0" "0.337684"
"scaffold_1.44" "scaffold_1" "4.2071115" "conserved" "conserved" "16" "173" "1" "1.14627245196641e-05" "0" "0" "0" "0" "0" "121" "0" "0" "0" "0.341996"
"scaffold_1.45" "scaffold_1" "4.1071365" "conserved" "conserved" "12" "193" "1" "1.9840413635636e-09" "0" "0" "0" "0" "0" "127" "0" "0" "0" "0.335434"
"scaffold_1.46" "scaffold_1" "4.0071615" "conserved" "conserved" "11" "187" "3" "1.22798976191997e-05" "0" "0" "0" "0" "0" "109" "0" "0" "0" "0.332963"
"scaffold_1.47" "scaffold_1" "3.9071865" "conserved" "conserved" "11" "161" "16" "3.63085390652728e-06" "12" "3" "0" "0" "0" "79" "0" "0" "0" "0.343546"
"scaffold_1.48" "scaffold_1" "3.807211" "conserved" "conserved" "7" "159" "3" "3.63085390652728e-06" "2" "1" "0" "0" "2" "98" "0" "1" "1" "0.337321"
"scaffold_1.49" "scaffold_1" "3.7072355" "conserved" "conserved" "13" "165" "4" "3.63085390652728e-06" "1" "1" "0" "0" "2" "104" "0" "1" "1" "0.342646"
"scaffold_1.50" "scaffold_1" "3.6072605" "conserved" "conserved" "7" "175" "2" "5.07511184824415e-06" "0" "0" "0" "0" "0" "84" "0" "0" "0" "0.325421"
"scaffold_1.51" "scaffold_1" "3.5072855" "conserved" "conserved" "14" "185" "14" "3.25159498448211e-05" "9" "3" "0" "0" "0" "93" "0" "0" "0" "0.352498"
"scaffold_1.52" "scaffold_1" "3.4073105" "conserved" "conserved" "6" "202" "6" "2.62826517891286e-05" "10" "2" "0" "1" "0" "129" "0" "0" "0" "0.329782"
"scaffold_1.53" "scaffold_1" "3.3073355" "conserved" "conserved" "10" "160" "20" "1.66011691258944e-06" "6" "4" "0" "0" "0" "91" "0" "0" "0" "0.343926"
"scaffold_1.54" "scaffold_1" "3.20736" "conserved" "conserved" "8" "188" "19" "1.66011691258944e-06" "2" "2" "0" "1" "1" "108" "2" "0" "0" "0.352745"
"scaffold_1.55" "scaffold_1" "3.1073845" "conserved" "conserved" "12" "207" "5" "1.66011691258944e-06" "3" "1" "0" "0" "0" "112" "0" "0" "0" "0.331803"
"scaffold_1.56" "scaffold_1" "3.0074095" "conserved" "conserved" "13" "168" "4" "1.19182818085255e-05" "4" "1" "0" "0" "0" "97" "0" "0" "0" "0.345726"
"scaffold_1.57" "scaffold_1" "2.9074345" "conserved" "conserved" "7" "192" "3" "7.89147896529294e-07" "0" "0" "0" "1" "0" "109" "0" "0" "0" "0.327862"
"scaffold_1.58" "scaffold_1" "2.8074595" "conserved" "conserved" "11" "177" "10" "7.89147896529294e-07" "1" "1" "0" "0" "0" "98" "0" "0" "0" "0.333303"
"scaffold_1.59" "scaffold_1" "2.7074845" "conserved" "conserved" "10" "144" "23" "7.89147896529294e-07" "9" "4" "0" "0" "0" "64" "0" "0" "0" "0.350058"
"scaffold_1.60" "scaffold_1" "2.607509" "conserved" "conserved" "9" "153" "16" "7.89147896529294e-07" "8" "1" "1" "0" "0" "71" "0" "0" "0" "0.353385"
"scaffold_1.61" "scaffold_1" "2.5075335" "conserved" "conserved" "7" "168" "3" "7.89147896529294e-07" "0" "0" "0" "0" "1" "94" "0" "0" "0" "0.340295"
"scaffold_1.62" "scaffold_1" "2.4075585" "conserved" "conserved" "8" "217" "5" "1.32550270984286e-05" "0" "0" "0" "0" "0" "121" "0" "0" "0" "0.317099"
"scaffold_1.63" "scaffold_1" "2.3075835" "conserved" "conserved" "5" "184" "13" "2.93752622420978e-05" "1" "0" "1" "0" "1" "96" "0" "0" "0" "0.32131"
"scaffold_1.64" "scaffold_1" "2.2076085" "conserved" "conserved" "9" "206" "10" "3.55781989424353e-05" "6" "1" "0" "1" "0" "111" "0" "0" "0" "0.330063"
"scaffold_1.65" "scaffold_1" "2.1076335" "conserved" "conserved" "5" "140" "8" "2.77235710061749e-05" "1" "1" "0" "0" "1" "72" "0" "1" "1" "0.339305"
"scaffold_1.66" "scaffold_1" "2.007658" "conserved" "conserved" "5" "149" "10" "3.49936661457922e-10" "2" "2" "0" "2" "0" "78" "0" "0" "0" "0.324608"
"scaffold_1.67" "scaffold_1" "1.9076825" "conserved" "conserved" "5" "156" "10" "3.49936661457922e-10" "7" "2" "0" "0" "0" "85" "0" "0" "0" "0.317929"
"scaffold_1.68" "scaffold_1" "1.8077075" "conserved" "conserved" "12" "178" "1" "9.55298793277888e-06" "0" "0" "0" "0" "0" "99" "0" "0" "0" "0.335534"
"scaffold_1.69" "scaffold_1" "1.7077325" "conserved" "conserved" "5" "234" "4" "2.63570364441808e-05" "0" "0" "0" "1" "0" "141" "0" "0" "0" "0.31852"
"scaffold_1.70" "scaffold_1" "1.6077575" "conserved" "conserved" "7" "101" "21" "2.63570364441808e-05" "3" "2" "1" "1" "0" "52" "0" "1" "1" "0.352088"
"scaffold_1.71" "scaffold_1" "1.5077825" "conserved" "conserved" "8" "169" "16" "3.09459131434907e-05" "2" "1" "1" "0" "1" "81" "0" "0" "0" "0.337374"
"scaffold_1.72" "scaffold_1" "1.407807" "conserved" "conserved" "9" "252" "2" "3.72941596814447e-05" "0" "0" "0" "0" "0" "142" "0" "0" "0" "0.318867"
"scaffold_1.73" "scaffold_1" "1.3078315" "conserved" "conserved" "6" "185" "9" "3.06374956841087e-05" "1" "1" "0" "1" "1" "103" "0" "0" "0" "0.332713"
"scaffold_1.74" "scaffold_1" "1.2078565" "conserved" "conserved" "9" "147" "8" "6.99634273646996e-07" "3" "1" "0" "0" "0" "86" "0" "0" "0" "0.348907"
"scaffold_1.75" "scaffold_1" "1.1078815" "conserved" "conserved" "4" "190" "5" "6.99634273646996e-07" "1" "0" "1" "1" "0" "102" "0" "0" "0" "0.336684"
"scaffold_1.76" "scaffold_1" "1.0079065" "conserved" "conserved" "11" "166" "0" "6.99634273646996e-07" "0" "0" "0" "0" "0" "106" "0" "0" "0" "0.351958"
"scaffold_1.77" "scaffold_1" "0.9079315" "conserved" "conserved" "11" "189" "3" "6.99634273646996e-07" "0" "0" "0" "0" "0" "113" "0" "0" "0" "0.329362"
"scaffold_1.78" "scaffold_1" "0.807956" "conserved" "conserved" "14" "230" "2" "6.99634273646996e-07" "0" "0" "0" "0" "0" "138" "0" "0" "0" "0.326768"
"scaffold_1.79" "scaffold_1" "0.7079805" "conserved" "conserved" "14" "188" "14" "6.99634273646996e-07" "7" "2" "0" "1" "0" "96" "0" "0" "0" "0.338055"
"scaffold_1.80" "scaffold_1" "0.6080055" "conserved" "conserved" "9" "172" "3" "6.99634273646996e-07" "0" "0" "0" "1" "0" "109" "0" "0" "0" "0.332173"
"scaffold_1.81" "scaffold_1" "0.5080305" "conserved" "conserved" "7" "210" "1" "2.67240583497663e-05" "0" "0" "0" "0" "0" "138" "0" "0" "0" "0.328992"
"scaffold_1.82" "scaffold_1" "0.4080555" "conserved" "conserved" "7" "223" "4" "2.91951215155628e-05" "0" "0" "0" "0" "0" "141" "1" "1" "1" "0.327662"
"scaffold_1.83" "scaffold_1" "0.3080805" "conserved" "conserved" "11" "157" "9" "2.20813951689527e-05" "1" "1" "0" "1" "0" "98" "0" "0" "0" "0.342926"
"scaffold_1.84" "scaffold_1" "0.208105" "conserved" "conserved" "7" "172" "9" "1.63543864700543e-06" "0" "0" "0" "2" "0" "94" "0" "0" "0" "0.339772"
"scaffold_1.85" "scaffold_1" "0.1081295" "conserved" "conserved" "8" "132" "26" "1.63543864700543e-06" "18" "3" "0" "0" "0" "72" "0" "0" "0" "0.345646"
"scaffold_1.86" "scaffold_1" "0.0081545" "conserved" "conserved" "14" "170" "3" "1.63543864700543e-06" "0" "0" "0" "0" "0" "106" "0" "0" "0" "0.333303"
"scaffold_1.87" "scaffold_1" "0.0918205" "conserved" "conserved" "13" "184" "3" "1.63543864700543e-06" "0" "0" "0" "1" "0" "113" "0" "0" "0" "0.340335"
"scaffold_1.88" "scaffold_1" "0.1917955" "conserved" "conserved" "6" "196" "13" "1.63543864700543e-06" "2" "2" "0" "0" "1" "102" "0" "0" "0" "0.325311"
"scaffold_1.89" "scaffold_1" "0.2917705" "conserved" "conserved" "7" "196" "2" "1.63543864700543e-06" "0" "0" "0" "1" "0" "125" "0" "0" "0" "0.322851"
"scaffold_1.90" "scaffold_1" "0.391746" "conserved" "conserved" "10" "194" "0" "6.24902826328685e-06" "0" "0" "0" "0" "0" "122" "0" "0" "0" "0.336491"
"scaffold_1.91" "scaffold_1" "0.4917215" "conserved" "conserved" "7" "229" "9" "9.49669147639338e-07" "3" "1" "0" "0" "0" "138" "0" "0" "0" "0.336744"
"scaffold_1.92" "scaffold_1" "0.5916965" "conserved" "conserved" "5" "178" "15" "9.49669147639338e-07" "4" "0" "4" "0" "0" "101" "0" "0" "0" "0.341275"
"scaffold_1.93" "scaffold_1" "0.6916715" "conserved" "conserved" "5" "171" "8" "9.49669147639338e-07" "1" "0" "1" "1" "0" "107" "0" "0" "0" "0.331523"
"scaffold_1.94" "scaffold_1" "0.7916465" "conserved" "conserved" "4" "135" "13" "9.49669147639338e-07" "3" "1" "2" "1" "0" "76" "1" "1" "1" "0.349337"
"scaffold_1.95" "scaffold_1" "0.8916215" "conserved" "conserved" "10" "160" "6" "9.49669147639338e-07" "0" "0" "0" "0" "0" "92" "0" "0" "0" "0.342686"
"scaffold_1.96" "scaffold_1" "0.991597" "conserved" "conserved" "13" "129" "7" "9.49669147639338e-07" "1" "1" "0" "1" "0" "74" "0" "0" "0" "0.347443"
"scaffold_1.97" "scaffold_1" "1.0915725" "conserved" "conserved" "10" "176" "12" "9.49669147639338e-07" "4" "2" "0" "0" "0" "101" "0" "0" "0" "0.338195"
"scaffold_1.98" "scaffold_1" "1.1915475" "conserved" "conserved" "11" "189" "13" "9.49669147639338e-07" "1" "1" "0" "0" "0" "96" "0" "0" "0" "0.341235"
"scaffold_1.99" "scaffold_1" "1.2915225" "conserved" "conserved" "11" "154" "8" "9.49669147639338e-07" "1" "1" "0" "1" "0" "88" "0" "0" "0" "0.350608"
"scaffold_1.100" "scaffold_1" "1.3914975" "conserved" "conserved" "10" "211" "1" "9.49669147639338e-07" "0" "0" "0" "0" "0" "140" "0" "0" "0" "0.323781"
"scaffold_1.101" "scaffold_1" "1.4914725" "conserved" "conserved" "7" "192" "10" "1.02832456816583e-06" "1" "1" "0" "1" "0" "118" "0" "0" "0" "0.330853"
"scaffold_1.102" "scaffold_1" "1.591448" "conserved" "conserved" "6" "166" "2" "1.3192340883746e-06" "0" "0" "0" "1" "0" "97" "0" "0" "0" "0.324328"
"scaffold_1.103" "scaffold_1" "1.6914235" "conserved" "conserved" "10" "139" "6" "1.3192340883746e-06" "1" "1" "0" "0" "0" "78" "0" "0" "0" "0.350898"
"scaffold_1.104" "scaffold_1" "1.7913985" "conserved" "conserved" "7" "193" "5" "1.3192340883746e-06" "1" "1" "0" "0" "0" "138" "0" "0" "0" "0.322261"
"scaffold_1.105" "scaffold_1" "1.8913735" "conserved" "conserved" "9" "134" "1" "1.52740723645607e-05" "0" "0" "0" "0" "0" "89" "0" "0" "0" "0.344556"
"scaffold_1.106" "scaffold_1" "1.9913485" "conserved" "conserved" "5" "160" "11" "6.54384000462259e-05" "2" "1" "1" "0" "0" "90" "0" "0" "0" "0.345846"
"scaffold_1.107" "scaffold_1" "2.0913235" "conserved" "conserved" "2" "137" "9" "5.87106686465926e-06" "1" "1" "0" "0" "2" "69" "1" "1" "1" "0.329612"
"scaffold_1.108" "scaffold_1" "2.191299" "conserved" "conserved" "7" "184" "2" "3.29300210575793e-05" "0" "0" "0" "0" "0" "96" "0" "0" "0" "0.33511"
"scaffold_1.109" "scaffold_1" "2.2912745" "conserved" "conserved" "9" "190" "5" "6.81202186302912e-05" "0" "0" "0" "1" "0" "98" "0" "0" "0" "0.326762"
"scaffold_1.110" "scaffold_1" "2.3912495" "conserved" "conserved" "15" "151" "14" "1.47228798658819e-05" "9" "2" "0" "0" "2" "82" "0" "0" "0" "0.347377"
"scaffold_1.111" "scaffold_1" "2.4912245" "conserved" "conserved" "7" "168" "4" "2.94098776886176e-06" "0" "0" "0" "0" "0" "97" "0" "0" "0" "0.31821"
"scaffold_1.112" "scaffold_1" "2.5911995" "conserved" "conserved" "9" "169" "8" "3.51687417003895e-06" "7" "2" "0" "0" "0" "113" "0" "0" "0" "0.32167"
"scaffold_1.113" "scaffold_1" "2.6911745" "conserved" "conserved" "9" "190" "8" "3.51687417003895e-06" "1" "1" "0" "1" "0" "81" "0" "0" "0" "0.323831"
"scaffold_1.114" "scaffold_1" "2.79115" "conserved" "conserved" "10" "165" "23" "3.51687417003895e-06" "8" "4" "0" "0" "2" "89" "0" "0" "0" "0.341882"
"scaffold_1.115" "scaffold_1" "2.8911255" "conserved" "conserved" "8" "124" "15" "3.18881908051961e-06" "9" "2" "0" "0" "1" "63" "0" "1" "1" "0.347667"
"scaffold_1.116" "scaffold_1" "2.9911005" "conserved" "conserved" "10" "190" "1" "2.56478000763653e-06" "0" "0" "0" "0" "0" "102" "0" "0" "0" "0.332123"
"scaffold_1.117" "scaffold_1" "3.0910755" "conserved" "conserved" "7" "194" "9" "2.56478000763653e-06" "1" "1" "0" "0" "0" "100" "0" "0" "0" "0.325992"
"scaffold_1.118" "scaffold_1" "3.1910505" "conserved" "conserved" "6" "187" "10" "2.56478000763653e-06" "3" "0" "1" "0" "2" "111" "0" "0" "0" "0.355409"
"scaffold_1.119" "scaffold_1" "3.2910255" "conserved" "conserved" "5" "199" "10" "3.79848824191215e-06" "6" "1" "0" "1" "0" "120" "0" "0" "0" "0.327892"
"scaffold_1.120" "scaffold_1" "3.391001" "conserved" "conserved" "9" "152" "6" "2.29436361139617e-05" "4" "1" "0" "0" "0" "89" "0" "0" "0" "0.329049"
"scaffold_1.121" "scaffold_1" "3.4909765" "conserved" "conserved" "9" "167" "8" "1.17580343920524e-05" "6" "1" "0" "0" "1" "85" "0" "0" "0" "0.343146"
"scaffold_1.122" "scaffold_1" "3.5909515" "conserved" "conserved" "5" "193" "2" "1.17580343920524e-05" "0" "0" "0" "0" "0" "115" "0" "0" "0" "0.32137"
"scaffold_1.123" "scaffold_1" "3.6909265" "conserved" "conserved" "6" "117" "3" "1.17580343920524e-05" "1" "0" "1" "0" "0" "73" "0" "1" "1" "0.334013"
"scaffold_1.124" "scaffold_1" "3.7909015" "conserved" "conserved" "7" "185" "5" "1.17580343920524e-05" "0" "0" "0" "1" "0" "110" "0" "0" "0" "0.327192"
"scaffold_1.125" "scaffold_1" "3.8908765" "conserved" "conserved" "11" "152" "11" "1.59726011653241e-05" "2" "2" "0" "2" "0" "84" "0" "0" "0" "0.333513"
"scaffold_1.126" "scaffold_1" "3.990852" "conserved" "conserved" "13" "139" "15" "5.02161015300382e-06" "2" "1" "1" "0" "5" "70" "0" "0" "0" "0.360196"
"scaffold_1.127" "scaffold_1" "4.0908275" "conserved" "conserved" "9" "156" "8" "9.55452866608561e-06" "5" "0" "1" "1" "0" "85" "0" "0" "0" "0.344536"
"scaffold_1.128" "scaffold_1" "4.1908025" "conserved" "conserved" "8" "188" "3" "1.10682167730602e-05" "0" "0" "0" "2" "0" "108" "0" "0" "0" "0.333773"
"scaffold_1.129" "scaffold_1" "4.2907775" "conserved" "conserved" "4" "216" "11" "1.40022910384798e-05" "4" "1" "0" "1" "0" "123" "0" "0" "0" "0.315559"
"scaffold_1.130" "scaffold_1" "4.3907525" "conserved" "conserved" "7" "192" "6" "2.18168362346966e-05" "3" "2" "0" "0" "0" "113" "0" "0" "0" "0.309807"
"scaffold_1.131" "scaffold_1" "4.4907275" "conserved" "conserved" "2" "174" "11" "1.62074270493444e-05" "2" "1" "0" "0" "0" "90" "0" "0" "0" "0.337634"
"scaffold_1.132" "scaffold_1" "4.590703" "conserved" "conserved" "7" "172" "12" "7.99550119663714e-06" "1" "1" "0" "3" "0" "99" "0" "0" "0" "0.33363"
"scaffold_1.133" "scaffold_1" "4.6906785" "conserved" "conserved" "7" "198" "10" "6.44334188970943e-06" "5" "0" "1" "0" "0" "117" "1" "0" "0" "0.326012"
"scaffold_1.134" "scaffold_1" "4.7906535" "conserved" "conserved" "8" "175" "5" "6.44334188970943e-06" "0" "0" "0" "0" "1" "110" "0" "1" "1" "0.336354"
"scaffold_1.135" "scaffold_1" "4.8906285" "conserved" "conserved" "4" "218" "4" "6.44334188970943e-06" "0" "0" "0" "0" "0" "143" "0" "0" "0" "0.317269"
"scaffold_1.136" "scaffold_1" "4.9906035" "conserved" "conserved" "6" "210" "12" "6.44334188970943e-06" "1" "1" "0" "0" "1" "119" "0" "0" "0" "0.315709"
"scaffold_1.137" "scaffold_1" "5.0905785" "conserved" "conserved" "7" "186" "3" "6.44334188970943e-06" "0" "0" "0" "0" "0" "110" "0" "0" "0" "0.326152"
"scaffold_1.138" "scaffold_1" "5.190554" "conserved" "conserved" "3" "149" "7" "6.44334188970943e-06" "1" "1" "0" "0" "0" "88" "0" "1" "1" "0.325528"
"scaffold_1.139" "scaffold_1" "5.2905295" "conserved" "conserved" "6" "147" "16" "7.97844968537976e-06" "2" "0" "2" "0" "1" "78" "0" "0" "0" "0.341495"
"scaffold_1.140" "scaffold_1" "5.3905045" "conserved" "conserved" "11" "196" "1" "9.94055139487472e-06" "0" "0" "0" "0" "0" "126" "0" "0" "0" "0.335304"
"scaffold_1.141" "scaffold_1" "5.4904795" "conserved" "conserved" "4" "182" "8" "9.94055139487472e-06" "0" "0" "0" "2" "0" "116" "0" "0" "0" "0.328992"
"scaffold_1.142" "scaffold_1" "5.5904545" "conserved" "conserved" "5" "195" "3" "9.94055139487472e-06" "0" "0" "0" "1" "0" "131" "0" "0" "0" "0.328172"
"scaffold_1.143" "scaffold_1" "5.6904295" "conserved" "conserved" "5" "161" "10" "9.94055139487472e-06" "6" "1" "0" "0" "3" "100" "0" "1" "1" "0.335834"
"scaffold_1.144" "scaffold_1" "5.790405" "conserved" "conserved" "8" "150" "9" "9.94055139487472e-06" "3" "1" "0" "3" "0" "78" "0" "0" "0" "0.339902"
"scaffold_1.145" "scaffold_1" "5.8903805" "conserved" "conserved" "8" "176" "7" "9.94055139487472e-06" "1" "1" "0" "0" "0" "96" "0" "0" "0" "0.328162"
"scaffold_1.146" "scaffold_1" "5.9903555" "conserved" "conserved" "11" "227" "6" "1.90345210232889e-05" "0" "0" "0" "0" "0" "143" "0" "0" "0" "0.336354"
"scaffold_1.147" "scaffold_1" "6.0903305" "conserved" "conserved" "5" "181" "8" "4.69132568225911e-05" "1" "1" "0" "0" "0" "100" "0" "0" "0" "0.333513"
"scaffold_1.148" "scaffold_1" "6.1903055" "conserved" "conserved" "8" "172" "4" "4.69132568225911e-05" "2" "1" "0" "1" "0" "110" "0" "0" "0" "0.339015"
"scaffold_1.149" "scaffold_1" "6.2902805" "conserved" "conserved" "9" "169" "9" "2.63204440301374e-05" "5" "2" "0" "0" "0" "98" "0" "0" "0" "0.352058"
"scaffold_1.150" "scaffold_1" "6.390256" "conserved" "conserved" "9" "154" "11" "2.51691855324246e-05" "2" "2" "0" "0" "0" "77" "0" "0" "0" "0.344023"
"scaffold_1.151" "scaffold_1" "6.4902315" "conserved" "conserved" "8" "171" "11" "2.51691855324246e-05" "1" "1" "0" "0" "0" "99" "0" "0" "0" "0.331323"
"scaffold_1.152" "scaffold_1" "6.5902065" "conserved" "conserved" "6" "191" "4" "2.51691855324246e-05" "0" "0" "0" "1" "0" "111" "0" "0" "0" "0.317309"
"scaffold_1.153" "scaffold_1" "6.6901815" "conserved" "conserved" "2" "178" "10" "2.51691855324246e-05" "1" "0" "1" "0" "0" "91" "0" "0" "0" "0.339525"
